Timestamp,Class,Confidence
2026-03-26 23:19:02,fire,1.00
2026-03-26 23:19:03,fire,1.00
2026-03-26 23:19:03,fire,0.99
2026-03-26 23:19:04,fire,0.99
2026-03-26 23:19:04,fire,0.99
2026-03-26 23:19:04,fire,0.99
2026-03-26 23:19:05,fire,0.99
2026-03-26 23:19:05,fire,0.98
2026-03-26 23:19:05,fire,0.98
2026-03-26 23:19:06,fire,0.99
2026-03-26 23:19:06,fire,0.99
2026-03-26 23:19:06,fire,0.99
2026-03-26 23:19:07,fire,0.99
2026-03-26 23:19:07,fire,0.99
2026-03-26 23:19:08,fire,0.99
2026-03-26 23:19:08,fire,0.99
2026-03-26 23:19:09,fire,0.99
2026-03-26 23:19:09,fire,0.99
2026-03-26 23:19:10,fire,0.99
2026-03-26 23:19:10,fire,1.00
2026-03-26 23:19:11,fire,0.99
2026-03-26 23:19:11,fire,0.99
2026-03-26 23:19:12,fire,0.99
2026-03-26 23:19:12,fire,0.99
2026-03-26 23:19:12,fire,0.99
2026-03-26 23:19:13,fire,0.99
2026-03-26 23:19:13,fire,1.00
2026-03-26 23:19:13,fire,0.99
2026-03-26 23:19:14,fire,0.99
2026-03-26 23:19:14,fire,0.99
2026-03-26 23:19:14,fire,0.99
2026-03-26 23:19:15,fire,1.00
2026-03-26 23:19:15,fire,1.00
2026-03-26 23:19:15,fire,1.00
2026-03-26 23:19:16,fire,1.00
2026-03-26 23:19:16,fire,0.99
2026-03-26 23:19:16,fire,1.00
2026-03-26 23:23:08,fire,0.61
